Demographic,Musicianship,,
North Indian,Musician,Bollywood,"K-POP, Rock, Blues, R&B"
North Indian,Musician,"Hindustani Classical, Bollywood, Contemporary world fusion","Progressive Rock, Psychedelic Rock, Progressive Metal"
North Indian,Musician,,"Hip Hop, Rock"
North Indian,Musician,"Indian Classical , Bollywood","Western Classical, Metal, Fusion"
North Indian,Musician,"Indian Classical, Ghazals, Contemporary Fusion, World Music","Jazz, Progressive Rock"
North Indian,Musician,,"Jazz, Hip Hop, Indie Rock, Classical"
North Indian,Musician,"Indian Classical , Bollywood",
North Indian,Musician,Hindustani Classical Music,
North Indian,Musician,,"Pop, Hip-Hop, R&B, Jazz, Blues"
North Indian,Musician,,"Progressive Rock/Metal , Blues/Jazz , DnB"
North Indian,Musician,"World music, Bollywood",Pop
North Indian,Musician,"Indian Classical, Bollywood","Pop, Rock, Fusion "
North Indian,Non-Musician,,"Classic Rock, Alternative, Hip Hop"
North Indian,Non-Musician,,"Hip Hop, Rock, LoFi"
North Indian,Non-Musician,"Bollywood, Ghazal",Pop
North Indian,Non-Musician,"Ghazal, Classical","Pop, LoFi, Hip Hop, "
North Indian,Non-Musician,,Rock
North Indian,Non-Musician,,"Rock, Pop and Western Classical"
North Indian,Non-Musician,,"Soft Rock, Pop"
North Indian,Non-Musician,,Western
North Indian,Non-Musician,,Western Classic and Soft Rock
North Indian,Non-Musician,,"Western Classical, Indian Gazals"
North Indian,Non-Musician,"Old Hindi Music, Bollywood",
North Indian,Non-Musician,Punjabi,Western Classical
South Indian,Musician,Carnatic Music,
South Indian,Musician,Indian Classical,
South Indian,Musician,Carnatic Music,
South Indian,Musician,"Carnatic Music, Hindustani, Bollywood",
South Indian,Musician,"Carnatic, Hindustani, Devotional, World Music",Philharmonic
South Indian,Musician,Indian Classical,Western Classical
South Indian,Musician,"Indian Classical, World music, Indian folk, Film music","English Pop, Western Classical,"
South Indian,Musician,Indian Classical,Pop
South Indian,Musician,"Tamil Film Music, Carnatic, Fusion",
South Indian,Musician,,"Rock, Pop, EDM, Indie"
South Indian,Musician,South Indian Classical music,
South Indian,Musician,Carnatic Music,
South Indian,Non-Musician,Bollywood,
South Indian,Non-Musician,Bollywood,K-POP
South Indian,Non-Musician,"Indian Pop, Bollywood Music, Instrumental, Classical",
South Indian,Non-Musician,Indian Classical,Western Classical
South Indian,Non-Musician,Indie Folk,"Rock, Blues"
South Indian,Non-Musician,,"Laidback... ambient, instrumental"
South Indian,Non-Musician,,Slow Music
South Indian,Non-Musician, Indian Classical,"Pop, Hop Hop"
South Indian,Non-Musician,"Bollywood, Tamil",Jazz
South Indian,Non-Musician,,Western Pop and Classical
South Indian,Non-Musician,Indian Pop and Indie,"Western Pop, Hip Hop, Rock and Classical"
South Indian,Non-Musician,Ghazals,Electronic Music
