,kappa,region,feature,group
0,0.89,North Musician,Vocal Texture,0
1,1.0,North Musician,Vocal Texture,1
2,0.86,North Musician,Vocal Texture,2
3,0.57,North Musician,Vocal Texture,3
4,0.89,North Musician,Vocal Texture,4
5,0.55,North Musician,Vocal Texture,5
6,0.62,North Non-Musician,Vocal Texture,0
7,1.0,North Non-Musician,Vocal Texture,1
8,1.0,North Non-Musician,Vocal Texture,2
9,0.48,North Non-Musician,Vocal Texture,3
10,0.75,North Non-Musician,Vocal Texture,4
11,0.07,North Non-Musician,Vocal Texture,5
12,0.89,South Musician,Vocal Texture,0
13,1.0,South Musician,Vocal Texture,1
14,1.0,South Musician,Vocal Texture,2
15,0.67,South Musician,Vocal Texture,3
16,0.57,South Musician,Vocal Texture,4
17,0.0,South Musician,Vocal Texture,5
18,0.86,South Non-Musician,Vocal Texture,0
19,0.78,South Non-Musician,Vocal Texture,1
20,0.4,South Non-Musician,Vocal Texture,2
21,0.48,South Non-Musician,Vocal Texture,3
22,0.88,South Non-Musician,Vocal Texture,4
23,0.78,South Non-Musician,Vocal Texture,5
24,1.0,North Musician,Familiarity,0
25,0.0,North Musician,Familiarity,1
26,0.0,North Musician,Familiarity,2
27,1.0,North Musician,Familiarity,3
28,0.0,North Musician,Familiarity,4
29,0.0,North Musician,Familiarity,5
30,0.0,North Non-Musician,Familiarity,0
31,0.55,North Non-Musician,Familiarity,1
32,0.0,North Non-Musician,Familiarity,2
33,0.58,North Non-Musician,Familiarity,3
34,0.0,North Non-Musician,Familiarity,4
35,0.0,North Non-Musician,Familiarity,5
36,1.0,South Musician,Familiarity,0
37,0.0,South Musician,Familiarity,1
38,0.0,South Musician,Familiarity,2
39,0.35,South Musician,Familiarity,3
40,0.0,South Musician,Familiarity,4
41,0.0,South Musician,Familiarity,5
42,-0.25,South Non-Musician,Familiarity,0
43,0.71,South Non-Musician,Familiarity,1
44,0.0,South Non-Musician,Familiarity,2
45,0.58,South Non-Musician,Familiarity,3
46,0.0,South Non-Musician,Familiarity,4
47,0.0,South Non-Musician,Familiarity,5
48,0.55,North Musician,Liking,0
49,0.38,North Musician,Liking,1
50,0.05,North Musician,Liking,2
51,0.25,North Musician,Liking,3
52,-0.09,North Musician,Liking,4
53,-0.36,North Musician,Liking,5
54,0.52,North Non-Musician,Liking,0
55,0.69,North Non-Musician,Liking,1
56,0.55,North Non-Musician,Liking,2
57,0.55,North Non-Musician,Liking,3
58,-0.11,North Non-Musician,Liking,4
59,-0.36,North Non-Musician,Liking,5
60,0.0,South Musician,Liking,0
61,0.48,South Musician,Liking,1
62,0.76,South Musician,Liking,2
63,0.17,South Musician,Liking,3
64,-0.67,South Musician,Liking,4
65,0.0,South Musician,Liking,5
66,0.17,South Non-Musician,Liking,0
67,0.29,South Non-Musician,Liking,1
68,0.44,South Non-Musician,Liking,2
69,0.4,South Non-Musician,Liking,3
70,0.0,South Non-Musician,Liking,4
71,0.26,South Non-Musician,Liking,5
72,0.67,North Musician,Tempo,0
73,0.8,North Musician,Tempo,1
74,0.67,North Musician,Tempo,2
75,0.4,North Musician,Tempo,3
76,0.17,North Musician,Tempo,4
77,0.33,North Musician,Tempo,5
78,0.09,North Non-Musician,Tempo,0
79,0.5,North Non-Musician,Tempo,1
80,0.09,North Non-Musician,Tempo,2
81,0.86,North Non-Musician,Tempo,3
82,0.62,North Non-Musician,Tempo,4
83,0.33,North Non-Musician,Tempo,5
84,0.17,South Musician,Tempo,0
85,0.86,South Musician,Tempo,1
86,1.0,South Musician,Tempo,2
87,0.0,South Musician,Tempo,3
88,0.29,South Musician,Tempo,4
89,0.0,South Musician,Tempo,5
90,-0.67,South Non-Musician,Tempo,0
91,0.67,South Non-Musician,Tempo,1
92,0.8,South Non-Musician,Tempo,2
93,0.4,South Non-Musician,Tempo,3
94,-0.06,South Non-Musician,Tempo,4
95,0.0,South Non-Musician,Tempo,5
96,0.55,North Musician,Consonance,0
97,0.67,North Musician,Consonance,1
98,-0.07,North Musician,Consonance,2
99,0.35,North Musician,Consonance,3
100,-0.49,North Musician,Consonance,4
101,-0.36,North Musician,Consonance,5
102,0.29,North Non-Musician,Consonance,0
103,0.8,North Non-Musician,Consonance,1
104,0.67,North Non-Musician,Consonance,2
105,0.57,North Non-Musician,Consonance,3
106,0.44,North Non-Musician,Consonance,4
107,0.0,North Non-Musician,Consonance,5
108,0.0,South Musician,Consonance,0
109,0.29,South Musician,Consonance,1
110,0.4,South Musician,Consonance,2
111,0.4,South Musician,Consonance,3
112,-0.4,South Musician,Consonance,4
113,0.0,South Musician,Consonance,5
