,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0
1,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
2,0.75,0.5,0.0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.75
3,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0
4,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5
5,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
6,0.75,0.5,0.75,0.75,0.75,0.5,0.0,0.5,0.5,0.75,0.75,0.0,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75
7,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
8,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
9,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0
10,0.25,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.5,0.25,0.0,0.75,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.25
11,0.75,0.5,0.75,0.75,0.75,0.5,0.0,0.5,0.5,0.75,0.75,0.0,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75
12,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
13,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
14,0.75,0.5,0.0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.75
15,0.25,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.5,0.25,0.0,0.75,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.25
16,0.75,0.5,0.0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.75
17,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
18,0.75,0.5,0.0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.75
19,0.25,0.5,0.75,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.0,0.5,0.75,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.25
20,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
21,0.25,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.5,0.25,0.0,0.75,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.25
22,0.75,0.5,0.0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.0,0.75
23,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
24,0.5,0.0,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5
