,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.1251,0.0999,0.4445,0.375,0.375,0.0,0.2859,0.0,0.3571,0.375,0.6429,0.4445,0.2859,0.375,0.1251,0.5455,0.4445,0.5001,0.0999,0.0999,0.375,0.0999,0.2859,0.4445,0.375,0.1251,0.5834,0.6155,0.6155,0.1251,0.5001,0.0999,0.0,0.6155,0.375,0.375,0.2859,0.0,0.1251
1,0.1112,0.0,0.2,0.3333,0.2499,0.2499,0.1112,0.143,0.1112,0.4286,0.2499,0.5714,0.3333,0.143,0.2499,0.0,0.4545,0.3333,0.4,0.2,0.2,0.2499,0.2,0.143,0.3333,0.2499,0.0,0.5,0.5385,0.5385,0.0,0.4,0.2,0.1112,0.5385,0.2499,0.2499,0.143,0.1112,0.0
2,0.1109,0.2499,0.0,0.5555,0.4998,0.4998,0.1109,0.4285,0.1109,0.2858,0.4998,0.7142,0.5555,0.4285,0.4998,0.2499,0.6363,0.5555,0.6,0.0,0.0,0.4998,0.0,0.4285,0.5555,0.4998,0.2499,0.6666,0.6923,0.6923,0.2499,0.6,0.0,0.1109,0.6923,0.4998,0.4998,0.4285,0.1109,0.2499
3,0.4445,0.375,0.5,0.0,0.1251,0.1251,0.4445,0.2856,0.4445,0.6429,0.1251,0.3571,0.0,0.2856,0.1251,0.375,0.1818,0.0,0.1001,0.5,0.5,0.1251,0.5,0.2856,0.0,0.1251,0.375,0.25,0.3077,0.3077,0.375,0.1001,0.5,0.4445,0.3077,0.1251,0.1251,0.2856,0.4445,0.375
4,0.3333,0.2499,0.3999,0.1112,0.0,0.0,0.3333,0.1426,0.3333,0.5714,0.0,0.4286,0.1112,0.1426,0.0,0.2499,0.2727,0.1112,0.2001,0.3999,0.3999,0.0,0.3999,0.1426,0.1112,0.0,0.2499,0.3334,0.3847,0.3847,0.2499,0.2001,0.3999,0.3333,0.3847,0.0,0.0,0.1426,0.3333,0.2499
5,0.3333,0.2499,0.3999,0.1112,0.0,0.0,0.3333,0.1426,0.3333,0.5714,0.0,0.4286,0.1112,0.1426,0.0,0.2499,0.2727,0.1112,0.2001,0.3999,0.3999,0.0,0.3999,0.1426,0.1112,0.0,0.2499,0.3334,0.3847,0.3847,0.2499,0.2001,0.3999,0.3333,0.3847,0.0,0.0,0.1426,0.3333,0.2499
6,0.0,0.1251,0.0999,0.4445,0.375,0.375,0.0,0.2859,0.0,0.3571,0.375,0.6429,0.4445,0.2859,0.375,0.1251,0.5455,0.4445,0.5001,0.0999,0.0999,0.375,0.0999,0.2859,0.4445,0.375,0.1251,0.5834,0.6155,0.6155,0.1251,0.5001,0.0999,0.0,0.6155,0.375,0.375,0.2859,0.0,0.1251
7,0.2224,0.1251,0.3,0.2221,0.1248,0.1248,0.2224,0.0,0.2224,0.5001,0.1248,0.4999,0.2221,0.0,0.1248,0.1251,0.3635,0.2221,0.3,0.3,0.3,0.1248,0.3,0.0,0.2221,0.1248,0.1251,0.4166,0.4615,0.4615,0.1251,0.3,0.3,0.2224,0.4615,0.1248,0.1248,0.0,0.2224,0.1251
8,0.0,0.1251,0.0999,0.4445,0.375,0.375,0.0,0.2859,0.0,0.3571,0.375,0.6429,0.4445,0.2859,0.375,0.1251,0.5455,0.4445,0.5001,0.0999,0.0999,0.375,0.0999,0.2859,0.4445,0.375,0.1251,0.5834,0.6155,0.6155,0.1251,0.5001,0.0999,0.0,0.6155,0.375,0.375,0.2859,0.0,0.1251
9,0.5555,0.7501,0.4001,1.0,1.0,1.0,0.5555,1.0,0.5555,0.0,1.0,1.0,1.0,1.0,1.0,0.7501,1.0,1.0,1.0,0.4001,0.4001,1.0,0.4001,1.0,1.0,1.0,0.7501,1.0,1.0,1.0,0.7501,1.0,0.4001,0.5555,1.0,1.0,1.0,1.0,0.5555,0.7501
10,0.3333,0.2499,0.3999,0.1112,0.0,0.0,0.3333,0.1426,0.3333,0.5714,0.0,0.4286,0.1112,0.1426,0.0,0.2499,0.2727,0.1112,0.2001,0.3999,0.3999,0.0,0.3999,0.1426,0.1112,0.0,0.2499,0.3334,0.3847,0.3847,0.2499,0.2001,0.3999,0.3333,0.3847,0.0,0.0,0.1426,0.3333,0.2499
11,1.0,1.0,1.0,0.5555,0.7501,0.7501,1.0,0.9997,1.0,1.0,0.7501,0.0,0.5555,0.9997,0.7501,1.0,0.2727,0.5555,0.3998,1.0,1.0,0.7501,1.0,0.9997,0.5555,0.7501,1.0,0.1666,0.0768,0.0768,1.0,0.3998,1.0,1.0,0.0768,0.7501,0.7501,0.9997,1.0,1.0
12,0.4445,0.375,0.5,0.0,0.1251,0.1251,0.4445,0.2856,0.4445,0.6429,0.1251,0.3571,0.0,0.2856,0.1251,0.375,0.1818,0.0,0.1001,0.5,0.5,0.1251,0.5,0.2856,0.0,0.1251,0.375,0.25,0.3077,0.3077,0.375,0.1001,0.5,0.4445,0.3077,0.1251,0.1251,0.2856,0.4445,0.375
13,0.2224,0.1251,0.3,0.2221,0.1248,0.1248,0.2224,0.0,0.2224,0.5001,0.1248,0.4999,0.2221,0.0,0.1248,0.1251,0.3635,0.2221,0.3,0.3,0.3,0.1248,0.3,0.0,0.2221,0.1248,0.1251,0.4166,0.4615,0.4615,0.1251,0.3,0.3,0.2224,0.4615,0.1248,0.1248,0.0,0.2224,0.1251
14,0.3333,0.2499,0.3999,0.1112,0.0,0.0,0.3333,0.1426,0.3333,0.5714,0.0,0.4286,0.1112,0.1426,0.0,0.2499,0.2727,0.1112,0.2001,0.3999,0.3999,0.0,0.3999,0.1426,0.1112,0.0,0.2499,0.3334,0.3847,0.3847,0.2499,0.2001,0.3999,0.3333,0.3847,0.0,0.0,0.1426,0.3333,0.2499
15,0.1112,0.0,0.2,0.3333,0.2499,0.2499,0.1112,0.143,0.1112,0.4286,0.2499,0.5714,0.3333,0.143,0.2499,0.0,0.4545,0.3333,0.4,0.2,0.2,0.2499,0.2,0.143,0.3333,0.2499,0.0,0.5,0.5385,0.5385,0.0,0.4,0.2,0.1112,0.5385,0.2499,0.2499,0.143,0.1112,0.0
16,0.6667,0.625,0.7,0.2221,0.375,0.375,0.6667,0.5711,0.6667,0.7857,0.375,0.2143,0.2221,0.5711,0.375,0.625,0.0,0.2221,0.0998,0.7,0.7,0.375,0.7,0.5711,0.2221,0.375,0.625,0.0834,0.154,0.154,0.625,0.0998,0.7,0.6667,0.154,0.375,0.375,0.5711,0.6667,0.625
17,0.4445,0.375,0.5,0.0,0.1251,0.1251,0.4445,0.2856,0.4445,0.6429,0.1251,0.3571,0.0,0.2856,0.1251,0.375,0.1818,0.0,0.1001,0.5,0.5,0.1251,0.5,0.2856,0.0,0.1251,0.375,0.25,0.3077,0.3077,0.375,0.1001,0.5,0.4445,0.3077,0.1251,0.1251,0.2856,0.4445,0.375
18,0.5557,0.5002,0.6001,0.1112,0.2502,0.2502,0.5557,0.4285,0.5557,0.7144,0.2502,0.2856,0.1112,0.4285,0.2502,0.5002,0.0908,0.1112,0.0,0.6001,0.6001,0.2502,0.6001,0.4285,0.1112,0.2502,0.5002,0.1666,0.2308,0.2308,0.5002,0.0,0.6001,0.5557,0.2308,0.2502,0.2502,0.4285,0.5557,0.5002
