,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.6365,0.5002,0.4285,0.4285,0.4285,0.5002,0.2502,0.0,0.5002,0.6365,0.4285,0.6001,0.6924,0.5557,0.6001,0.4285,0.6668,0.6001,0.6924,0.6668,0.5002,0.5002,0.6924,0.6365,0.6668,0.7144,0.0,0.5002,0.6924,0.6001,0.0,0.5002,0.2856,0.5002,0.1112,0.2502,0.1112,0.1112,0.6001
1,0.7,0.0,0.375,0.5715,0.5715,0.5715,0.375,0.625,0.7,0.375,0.0,0.5715,0.1001,0.1538,0.2221,0.1001,0.5715,0.0834,0.1001,0.1538,0.0834,0.375,0.375,0.1538,0.0,0.0834,0.2143,0.7,0.375,0.1538,0.1001,0.7,0.375,0.7857,0.375,0.6667,0.625,0.6667,0.6667,0.1001
2,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
3,0.3,0.3637,0.1251,0.0,0.0,0.0,0.1251,0.1248,0.3,0.1251,0.3637,0.0,0.3,0.4616,0.2224,0.3,0.0,0.4168,0.3,0.4616,0.4168,0.1251,0.1251,0.4616,0.3637,0.4168,0.5001,0.3,0.1251,0.4616,0.3,0.3,0.1251,0.4999,0.1251,0.2221,0.1248,0.2221,0.2221,0.3
4,0.3,0.3637,0.1251,0.0,0.0,0.0,0.1251,0.1248,0.3,0.1251,0.3637,0.0,0.3,0.4616,0.2224,0.3,0.0,0.4168,0.3,0.4616,0.4168,0.1251,0.1251,0.4616,0.3637,0.4168,0.5001,0.3,0.1251,0.4616,0.3,0.3,0.1251,0.4999,0.1251,0.2221,0.1248,0.2221,0.2221,0.3
5,0.3,0.3637,0.1251,0.0,0.0,0.0,0.1251,0.1248,0.3,0.1251,0.3637,0.0,0.3,0.4616,0.2224,0.3,0.0,0.4168,0.3,0.4616,0.4168,0.1251,0.1251,0.4616,0.3637,0.4168,0.5001,0.3,0.1251,0.4616,0.3,0.3,0.1251,0.4999,0.1251,0.2221,0.1248,0.2221,0.2221,0.3
6,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
7,0.2001,0.4545,0.2499,0.1426,0.1426,0.1426,0.2499,0.0,0.2001,0.2499,0.4545,0.1426,0.3999,0.5384,0.3333,0.3999,0.1426,0.5,0.3999,0.5384,0.5,0.2499,0.2499,0.5384,0.4545,0.5,0.5714,0.2001,0.2499,0.5384,0.3999,0.2001,0.2499,0.4286,0.2499,0.1112,0.0,0.1112,0.1112,0.3999
8,0.0,0.6365,0.5002,0.4285,0.4285,0.4285,0.5002,0.2502,0.0,0.5002,0.6365,0.4285,0.6001,0.6924,0.5557,0.6001,0.4285,0.6668,0.6001,0.6924,0.6668,0.5002,0.5002,0.6924,0.6365,0.6668,0.7144,0.0,0.5002,0.6924,0.6001,0.0,0.5002,0.2856,0.5002,0.1112,0.2502,0.1112,0.1112,0.6001
9,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
