,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.0487,0.1471,0.1818,0.0,0.0929,0.1874,0.3036,0.1137,0.3036,0.3906,0.25,0.3751,0.1137,0.1874,0.4318,0.025,0.3751,0.0835,0.2187,0.6094,0.4792,0.3056,0.2187,0.1874,0.025,0.25,0.1874,0.1137,0.3499
1,0.0512,0.0,0.2058,0.2423,0.0512,0.0464,0.1458,0.2679,0.0683,0.2679,0.3594,0.2116,0.425,0.0683,0.1458,0.4772,0.025,0.425,0.1389,0.281,0.6406,0.5208,0.3611,0.281,0.1458,0.025,0.2116,0.1458,0.0683,0.3166
2,0.1282,0.1707,0.0,0.0303,0.1282,0.2092,0.2916,0.3929,0.2273,0.3929,0.4687,0.3461,0.2501,0.2273,0.2916,0.3181,0.15,0.2501,0.0555,0.0624,0.5313,0.375,0.1667,0.0624,0.2916,0.15,0.3461,0.2916,0.2273,0.4333
3,0.1538,0.195,0.0294,0.0,0.1538,0.2324,0.3124,0.4107,0.25,0.4107,0.4843,0.3653,0.2251,0.25,0.3124,0.2954,0.1749,0.2251,0.0832,0.0312,0.5157,0.3542,0.1389,0.0312,0.3124,0.1749,0.3653,0.3124,0.25,0.4499
4,0.0,0.0487,0.1471,0.1818,0.0,0.0929,0.1874,0.3036,0.1137,0.3036,0.3906,0.25,0.3751,0.1137,0.1874,0.4318,0.025,0.3751,0.0835,0.2187,0.6094,0.4792,0.3056,0.2187,0.1874,0.025,0.25,0.1874,0.1137,0.3499
5,0.1024,0.0487,0.2645,0.3028,0.1024,0.0,0.1042,0.2323,0.0229,0.2323,0.3282,0.1732,0.4749,0.0229,0.1042,0.5226,0.0749,0.4749,0.1944,0.3434,0.6718,0.5624,0.4165,0.3434,0.1042,0.0749,0.1732,0.1042,0.0229,0.2834
6,0.2306,0.1707,0.4116,0.4543,0.2306,0.1163,0.0,0.143,0.0908,0.143,0.25,0.077,0.6,0.0908,0.0,0.6363,0.1999,0.6,0.3333,0.4997,0.75,0.6666,0.5555,0.4997,0.0,0.1999,0.077,0.0,0.0908,0.2
7,0.4359,0.366,0.6471,0.6969,0.4359,0.3025,0.1668,0.0,0.2727,0.0,0.1249,0.077,0.8001,0.2727,0.1668,0.8182,0.4,0.8001,0.5557,0.7499,0.8751,0.8334,0.7779,0.7499,0.1668,0.4,0.077,0.1668,0.2727,0.0666
8,0.1282,0.0733,0.2942,0.3333,0.1282,0.0234,0.0832,0.2143,0.0,0.2143,0.3124,0.1538,0.5001,0.0,0.0832,0.5455,0.1001,0.5001,0.2224,0.3749,0.6876,0.5834,0.4445,0.3749,0.0832,0.1001,0.1538,0.0832,0.0,0.2666
9,0.4359,0.366,0.6471,0.6969,0.4359,0.3025,0.1668,0.0,0.2727,0.0,0.1249,0.077,0.8001,0.2727,0.1668,0.8182,0.4,0.8001,0.5557,0.7499,0.8751,0.8334,0.7779,0.7499,0.1668,0.4,0.077,0.1668,0.2727,0.0666
