,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.9496,0.5597,0.3002,0.3449,0.2583,0.0835,0.025,0.0835,0.0835,0.2187,0.9723,0.0835,0.9643,0.2187,0.025,0.0835,0.0835,0.9584,0.025,0.025,0.975,0.6252,0.3929,0.3929,0.2187,0.6252,0.0835,0.2187,0.025
1,0.4871,0.0,0.2,0.3331,0.3102,0.3546,0.4443,0.4999,0.4443,0.4443,0.3749,0.4445,0.4443,0.2859,0.3749,0.4999,0.4443,0.4443,0.1668,0.4999,0.4999,0.5001,0.1664,0.2856,0.2856,0.3749,0.1664,0.4443,0.3749,0.4999
2,0.3588,0.25,0.0,0.1664,0.1377,0.1932,0.3053,0.3749,0.3053,0.3053,0.2187,0.5835,0.3053,0.4645,0.2187,0.3749,0.3053,0.3053,0.3752,0.3749,0.3749,0.6251,0.042,0.107,0.107,0.2187,0.042,0.3053,0.2187,0.3749
3,0.2309,0.4995,0.1996,0.0,0.0344,0.0322,0.1667,0.2501,0.1667,0.1667,0.0627,0.7221,0.1667,0.6428,0.0627,0.2501,0.1667,0.1667,0.5832,0.2501,0.2501,0.7499,0.25,0.0713,0.0713,0.0627,0.25,0.1667,0.0627,0.2501
4,0.2565,0.4496,0.1597,0.0333,0.0,0.0644,0.1944,0.275,0.1944,0.1944,0.0939,0.6944,0.1944,0.6071,0.0939,0.275,0.1944,0.1944,0.5416,0.275,0.275,0.725,0.2084,0.0357,0.0357,0.0939,0.2084,0.1944,0.0939,0.275
5,0.2053,0.5494,0.2395,0.0333,0.0689,0.0,0.1389,0.2251,0.1389,0.1389,0.0315,0.7499,0.1389,0.6784,0.0315,0.2251,0.1389,0.1389,0.6248,0.2251,0.2251,0.7749,0.2916,0.107,0.107,0.0315,0.2916,0.1389,0.0315,0.2251
6,0.077,0.7994,0.4395,0.2,0.2413,0.1614,0.0,0.1001,0.0,0.0,0.1248,0.8888,0.0,0.857,0.1248,0.1001,0.0,0.0,0.8332,0.1001,0.1001,0.8999,0.5,0.2856,0.2856,0.1248,0.5,0.0,0.1248,0.1001
7,0.0256,0.9995,0.5996,0.3334,0.3793,0.2905,0.1112,0.0,0.1112,0.1112,0.2499,1.0,0.1112,1.0,0.2499,0.0,0.1112,0.1112,1.0,0.0,0.0,1.0,0.6668,0.4285,0.4285,0.2499,0.6668,0.1112,0.2499,0.0
8,0.077,0.7994,0.4395,0.2,0.2413,0.1614,0.0,0.1001,0.0,0.0,0.1248,0.8888,0.0,0.857,0.1248,0.1001,0.0,0.0,0.8332,0.1001,0.1001,0.8999,0.5,0.2856,0.2856,0.1248,0.5,0.0,0.1248,0.1001
9,0.077,0.7994,0.4395,0.2,0.2413,0.1614,0.0,0.1001,0.0,0.0,0.1248,0.8888,0.0,0.857,0.1248,0.1001,0.0,0.0,0.8332,0.1001,0.1001,0.8999,0.5,0.2856,0.2856,0.1248,0.5,0.0,0.1248,0.1001
10,0.1794,0.5998,0.2798,0.0669,0.1036,0.0325,0.1109,0.1999,0.1109,0.1109,0.0,0.7779,0.1109,0.7144,0.0,0.1999,0.1109,0.1109,0.6668,0.1999,0.1999,0.8001,0.3336,0.143,0.143,0.0,0.3336,0.1109,0.0,0.1999
11,0.8974,0.7999,0.8399,0.8666,0.862,0.8709,0.8888,0.8999,0.8888,0.8888,0.8749,0.0,0.8888,0.2856,0.8749,0.8999,0.8888,0.8888,0.5,0.8999,0.8999,0.1001,0.8332,0.857,0.857,0.8749,0.8332,0.8888,0.8749,0.8999
12,0.077,0.7994,0.4395,0.2,0.2413,0.1614,0.0,0.1001,0.0,0.0,0.1248,0.8888,0.0,0.857,0.1248,0.1001,0.0,0.0,0.8332,0.1001,0.1001,0.8999,0.5,0.2856,0.2856,0.1248,0.5,0.0,0.1248,0.1001
13,0.6923,0.4002,0.5202,0.6,0.5862,0.6129,0.6667,0.7,0.6667,0.6667,0.6251,0.2221,0.6667,0.0,0.6251,0.7,0.6667,0.6667,0.1668,0.7,0.7,0.3,0.5,0.5715,0.5715,0.6251,0.5,0.6667,0.6251,0.7
14,0.1794,0.5998,0.2798,0.0669,0.1036,0.0325,0.1109,0.1999,0.1109,0.1109,0.0,0.7779,0.1109,0.7144,0.0,0.1999,0.1109,0.1109,0.6668,0.1999,0.1999,0.8001,0.3336,0.143,0.143,0.0,0.3336,0.1109,0.0,0.1999
15,0.0256,0.9995,0.5996,0.3334,0.3793,0.2905,0.1112,0.0,0.1112,0.1112,0.2499,1.0,0.1112,1.0,0.2499,0.0,0.1112,0.1112,1.0,0.0,0.0,1.0,0.6668,0.4285,0.4285,0.2499,0.6668,0.1112,0.2499,0.0
