ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
48.96,30.21,71.88,67.71,70.83,63.54,38.54,76.04,38.54,73.96,38.54,25.0,1.04,36.46,53.12,53.12,59.37
45.83,58.33,45.83,60.42,66.67,65.62,68.75,72.92,52.08,67.71,36.46,39.58,20.83,52.08,55.21,48.96,61.46
53.12,48.96,67.71,64.58,69.79,64.58,61.46,76.04,51.04,73.96,43.75,40.62,15.62,34.38,58.33,54.17,57.29
51.04,40.62,58.33,63.54,58.33,57.29,52.08,64.58,53.12,69.79,44.79,46.88,10.42,41.67,57.29,48.96,56.25
54.17,36.46,67.71,65.62,75.0,68.75,44.79,76.04,36.46,62.5,38.54,28.12,11.46,52.08,55.21,47.92,54.17
43.75,58.33,40.62,64.58,69.79,67.71,64.58,69.79,50.0,71.88,34.38,33.33,9.38,43.75,56.25,51.04,58.33
45.83,12.5,70.83,58.33,75.0,66.67,29.17,66.67,33.33,62.5,29.17,25.0,4.17,45.83,45.83,45.83,50.0
29.17,33.33,54.17,58.33,66.67,45.83,45.83,62.5,33.33,66.67,20.83,41.67,0.0,45.83,45.83,45.83,50.0
41.67,41.67,54.17,62.5,62.5,54.17,37.5,62.5,50.0,75.0,33.33,33.33,4.17,33.33,45.83,50.0,58.33
37.5,16.67,41.67,54.17,54.17,41.67,25.0,66.67,29.17,62.5,20.83,37.5,4.17,41.67,41.67,41.67,45.83
25.0,20.83,58.33,45.83,50.0,45.83,33.33,66.67,20.83,66.67,12.5,37.5,8.33,33.33,50.0,41.67,41.67
20.83,54.17,45.83,62.5,62.5,62.5,58.33,66.67,50.0,75.0,25.0,33.33,37.5,12.5,54.17,54.17,54.17
58.33,16.67,79.17,66.67,87.5,62.5,33.33,91.67,20.83,66.67,54.17,16.67,4.17,45.83,50.0,54.17,62.5
37.5,62.5,45.83,70.83,70.83,75.0,70.83,70.83,58.33,75.0,33.33,25.0,29.17,37.5,66.67,58.33,70.83
45.83,50.0,62.5,58.33,54.17,54.17,54.17,75.0,66.67,75.0,29.17,29.17,8.33,58.33,66.67,58.33,62.5
41.67,37.5,66.67,79.17,83.33,75.0,58.33,79.17,45.83,87.5,58.33,33.33,0.0,50.0,58.33,58.33,75.0
45.83,66.67,87.5,70.83,75.0,79.17,83.33,95.83,50.0,75.0,37.5,54.17,4.17,54.17,70.83,66.67,79.17
54.17,54.17,41.67,83.33,75.0,79.17,75.0,87.5,50.0,79.17,54.17,50.0,4.17,29.17,58.33,66.67,79.17
66.67,83.33,83.33,75.0,83.33,79.17,79.17,79.17,58.33,87.5,41.67,50.0,25.0,50.0,70.83,54.17,62.5
66.67,79.17,41.67,79.17,79.17,83.33,83.33,79.17,54.17,75.0,45.83,37.5,0.0,45.83,62.5,50.0,54.17
75.0,29.17,87.5,87.5,91.67,66.67,41.67,75.0,41.67,83.33,79.17,54.17,0.0,37.5,66.67,66.67,75.0
58.33,62.5,41.67,45.83,41.67,54.17,83.33,75.0,83.33,75.0,62.5,75.0,41.67,62.5,62.5,41.67,54.17
66.67,37.5,70.83,62.5,58.33,45.83,45.83,70.83,41.67,54.17,50.0,50.0,16.67,66.67,54.17,37.5,45.83
79.17,87.5,58.33,83.33,83.33,87.5,83.33,79.17,75.0,75.0,45.83,33.33,12.5,66.67,58.33,54.17,62.5
45.83,33.33,37.5,62.5,54.17,66.67,37.5,66.67,33.33,33.33,29.17,20.83,12.5,66.67,54.17,37.5,41.67
41.67,58.33,20.83,50.0,62.5,66.67,58.33,66.67,54.17,70.83,37.5,29.17,8.33,45.83,50.0,50.0,58.33
37.5,33.33,33.33,54.17,50.0,58.33,41.67,66.67,37.5,70.83,25.0,20.83,16.67,45.83,50.0,50.0,58.33
50.0,37.5,20.83,50.0,62.5,62.5,54.17,70.83,41.67,70.83,29.17,37.5,4.17,41.67,50.0,58.33,58.33
41.67,4.17,29.17,50.0,66.67,29.17,29.17,62.5,20.83,70.83,33.33,37.5,8.33,33.33,45.83,58.33,58.33
41.67,50.0,91.67,70.83,62.5,66.67,58.33,70.83,29.17,75.0,16.67,41.67,0.0,37.5,50.0,45.83,54.17
