ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
45.77,27.32,57.68,60.18,63.93,51.01,33.39,69.4,36.31,82.02,33.81,26.31,0.0,31.73,46.55,48.1,63.63
38.39,61.96,38.1,58.45,63.04,58.75,62.56,69.7,48.51,71.49,28.81,35.48,20.65,51.43,47.5,48.51,66.96
47.14,46.01,50.0,62.92,65.0,58.33,54.17,73.99,41.85,78.04,42.68,36.73,11.31,36.01,54.88,59.76,57.38
42.14,53.51,61.67,66.25,61.96,52.14,54.46,59.29,56.43,77.74,45.36,39.17,10.42,41.96,59.17,53.1,61.55
56.31,44.11,55.0,55.6,65.95,57.38,48.21,68.33,32.68,69.82,36.73,32.26,16.37,54.17,54.46,50.71,59.17
37.74,60.77,29.23,61.96,65.12,54.11,60.48,71.9,51.01,74.94,35.77,26.73,9.17,46.13,50.71,53.21,64.17
28.57,21.43,50.0,35.71,57.14,42.86,42.86,50.0,35.71,64.29,28.57,35.71,7.14,50.0,42.86,42.86,50.0
14.29,21.43,28.57,42.86,57.14,21.43,28.57,64.29,35.71,71.43,21.43,28.57,0.0,42.86,42.86,42.86,50.0
28.57,28.57,42.86,50.0,57.14,42.86,21.43,50.0,35.71,71.43,28.57,21.43,7.14,42.86,50.0,50.0,64.29
28.57,28.57,14.29,35.71,42.86,42.86,42.86,57.14,42.86,71.43,28.57,35.71,7.14,42.86,42.86,35.71,50.0
21.43,28.57,42.86,28.57,35.71,35.71,42.86,57.14,28.57,71.43,7.14,35.71,7.14,35.71,57.14,42.86,42.86
14.29,57.14,50.0,57.14,57.14,57.14,50.0,64.29,57.14,71.43,21.43,35.71,21.43,7.14,42.86,42.86,50.0
80.0,30.0,70.0,70.0,90.0,70.0,50.0,90.0,20.0,90.0,60.0,10.0,0.0,50.0,50.0,60.0,70.0
20.0,80.0,30.0,80.0,70.0,70.0,80.0,90.0,60.0,70.0,30.0,20.0,20.0,50.0,60.0,70.0,90.0
50.0,50.0,60.0,80.0,70.0,50.0,50.0,80.0,40.0,70.0,30.0,30.0,10.0,60.0,50.0,70.0,70.0
40.0,60.0,50.0,70.0,90.0,100.0,70.0,70.0,60.0,90.0,50.0,20.0,0.0,50.0,60.0,60.0,80.0
50.0,70.0,80.0,70.0,70.0,80.0,80.0,100.0,50.0,90.0,40.0,60.0,10.0,60.0,70.0,80.0,80.0
50.0,80.0,30.0,90.0,70.0,80.0,90.0,90.0,60.0,100.0,60.0,70.0,10.0,20.0,70.0,70.0,80.0
66.67,75.0,66.67,66.67,75.0,66.67,66.67,83.33,50.0,83.33,33.33,50.0,33.33,50.0,75.0,50.0,66.67
66.67,83.33,33.33,75.0,75.0,75.0,83.33,75.0,58.33,83.33,50.0,33.33,0.0,50.0,58.33,41.67,58.33
83.33,33.33,75.0,75.0,91.67,83.33,50.0,83.33,58.33,83.33,83.33,41.67,0.0,50.0,83.33,75.0,83.33
66.67,66.67,50.0,50.0,41.67,50.0,83.33,75.0,75.0,75.0,58.33,66.67,41.67,66.67,66.67,41.67,50.0
83.33,50.0,58.33,58.33,66.67,50.0,50.0,83.33,41.67,66.67,58.33,75.0,25.0,50.0,58.33,50.0,58.33
75.0,91.67,50.0,75.0,75.0,83.33,75.0,83.33,75.0,75.0,41.67,25.0,8.33,66.67,66.67,50.0,66.67
50.0,50.0,33.33,50.0,41.67,50.0,33.33,50.0,25.0,41.67,25.0,33.33,25.0,66.67,50.0,50.0,50.0
50.0,58.33,25.0,50.0,58.33,50.0,50.0,58.33,50.0,75.0,41.67,25.0,16.67,41.67,41.67,58.33,58.33
25.0,25.0,16.67,41.67,33.33,41.67,50.0,58.33,33.33,75.0,33.33,33.33,8.33,58.33,41.67,50.0,58.33
50.0,41.67,41.67,50.0,66.67,58.33,58.33,66.67,50.0,66.67,25.0,33.33,8.33,41.67,41.67,66.67,58.33
50.0,8.33,50.0,58.33,66.67,25.0,33.33,58.33,25.0,66.67,41.67,41.67,0.0,33.33,41.67,66.67,58.33
41.67,50.0,83.33,58.33,50.0,58.33,58.33,58.33,33.33,75.0,25.0,41.67,0.0,50.0,41.67,50.0,58.33
