,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.3333,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0
1,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.6667,0.6667,0.5,0.5,0.5,0.6667,0.5,0.0,0.5,0.5,0.25,0.6667,0.25,0.0,0.0,0.25,0.25,0.5,0.6667,0.5,0.0,0.0
2,1.0,0.3333,0.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.0,1.0,0.0,0.3333,0.3333,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333
3,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
4,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
5,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
6,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.6667,0.6667,0.5,0.5,0.5,0.6667,0.5,0.0,0.5,0.5,0.25,0.6667,0.25,0.0,0.0,0.25,0.25,0.5,0.6667,0.5,0.0,0.0
7,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
8,0.25,0.6667,0.75,0.5,0.5,0.5,0.6667,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.6667,0.5,0.5,0.75,0.0,0.75,0.6667,0.6667,0.75,0.75,0.5,0.0,0.5,0.6667,0.6667
9,0.25,0.6667,0.75,0.5,0.5,0.5,0.6667,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.6667,0.5,0.5,0.75,0.0,0.75,0.6667,0.6667,0.75,0.75,0.5,0.0,0.5,0.6667,0.6667
10,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
11,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
12,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
13,0.25,0.6667,0.75,0.5,0.5,0.5,0.6667,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.6667,0.5,0.5,0.75,0.0,0.75,0.6667,0.6667,0.75,0.75,0.5,0.0,0.5,0.6667,0.6667
14,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
15,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.6667,0.6667,0.5,0.5,0.5,0.6667,0.5,0.0,0.5,0.5,0.25,0.6667,0.25,0.0,0.0,0.25,0.25,0.5,0.6667,0.5,0.0,0.0
16,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
17,0.5,0.3333,0.5,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.5,0.5,0.0,0.3333,0.0,0.3333,0.3333
18,1.0,0.3333,0.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.0,1.0,0.0,0.3333,0.3333,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333
19,0.25,0.6667,0.75,0.5,0.5,0.5,0.6667,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.6667,0.5,0.5,0.75,0.0,0.75,0.6667,0.6667,0.75,0.75,0.5,0.0,0.5,0.6667,0.6667
20,1.0,0.3333,0.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.0,1.0,0.0,0.3333,0.3333,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333
21,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.6667,0.6667,0.5,0.5,0.5,0.6667,0.5,0.0,0.5,0.5,0.25,0.6667,0.25,0.0,0.0,0.25,0.25,0.5,0.6667,0.5,0.0,0.0
22,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.6667,0.6667,0.5,0.5,0.5,0.6667,0.5,0.0,0.5,0.5,0.25,0.6667,0.25,0.0,0.0,0.25,0.25,0.5,0.6667,0.5,0.0,0.0
