overlap,creativity,likeness,tempo,consonance,emotion,decoration,range,quality,rhythm,excitingness,groove,timbre
81.25,6.25,43.75,37.5,50.0,62.5,25.0,75.0,18.75,37.5,56.25,6.25,68.75
87.5,25.0,68.75,56.25,87.5,93.75,37.5,68.75,62.5,68.75,75.0,43.75,43.75
0.0,18.75,81.25,50.0,81.25,81.25,12.5,25.0,43.75,56.25,37.5,18.75,18.75
81.25,12.5,62.5,68.75,62.5,62.5,31.25,75.0,6.25,75.0,68.75,43.75,56.25
0.0,37.5,68.75,25.0,62.5,50.0,100.0,62.5,50.0,37.5,43.75,0.0,81.25
0.0,43.75,87.5,93.75,81.25,93.75,62.5,43.75,50.0,87.5,75.0,62.5,37.5
0.0,12.5,37.5,18.75,50.0,43.75,50.0,43.75,18.75,43.75,25.0,0.0,50.0
50.0,6.25,25.0,12.5,25.0,25.0,43.75,50.0,37.5,12.5,56.25,0.0,87.5
56.25,0.0,18.75,56.25,25.0,43.75,37.5,81.25,6.25,37.5,50.0,12.5,100.0
0.0,37.5,87.5,50.0,75.0,93.75,50.0,81.25,50.0,62.5,75.0,68.75,62.5
6.25,18.75,56.25,62.5,43.75,75.0,43.75,31.25,43.75,50.0,56.25,37.5,43.75
62.5,6.25,18.75,12.5,18.75,25.0,18.75,62.5,25.0,25.0,50.0,0.0,50.0
50.0,18.75,37.5,93.75,37.5,31.25,31.25,37.5,43.75,68.75,62.5,37.5,68.75
93.75,25.0,87.5,50.0,87.5,68.75,43.75,43.75,62.5,75.0,25.0,50.0,25.0
0.0,31.25,81.25,43.75,81.25,75.0,56.25,56.25,56.25,81.25,56.25,31.25,37.5
56.25,68.75,93.75,75.0,87.5,100.0,50.0,31.25,56.25,68.75,75.0,81.25,18.75
81.25,43.75,37.5,18.75,43.75,50.0,37.5,43.75,37.5,43.75,18.75,6.25,37.5
0.0,0.0,31.25,75.0,18.75,37.5,37.5,75.0,50.0,31.25,50.0,6.25,93.75
75.0,25.0,43.75,12.5,43.75,50.0,31.25,18.75,37.5,56.25,0.0,0.0,56.25
81.25,0.0,62.5,43.75,50.0,62.5,68.75,87.5,25.0,31.25,50.0,18.75,81.25
12.5,18.75,43.75,50.0,31.25,31.25,68.75,37.5,31.25,56.25,50.0,0.0,87.5
6.25,37.5,25.0,62.5,18.75,25.0,56.25,37.5,25.0,37.5,50.0,18.75,50.0
6.25,31.25,62.5,56.25,56.25,56.25,75.0,31.25,25.0,50.0,31.25,18.75,31.25
81.25,0.0,31.25,43.75,25.0,43.75,43.75,37.5,31.25,62.5,62.5,25.0,43.75
100.0,12.5,43.75,75.0,50.0,68.75,50.0,56.25,37.5,56.25,62.5,43.75,56.25
43.75,12.5,37.5,75.0,37.5,50.0,62.5,37.5,18.75,68.75,56.25,25.0,56.25
81.25,12.5,50.0,43.75,37.5,62.5,25.0,31.25,18.75,56.25,50.0,37.5,43.75
68.75,12.5,37.5,37.5,37.5,50.0,43.75,56.25,25.0,50.0,43.75,18.75,62.5
81.25,25.0,62.5,37.5,43.75,68.75,43.75,56.25,18.75,68.75,56.25,31.25,68.75
62.5,25.0,56.25,75.0,43.75,62.5,43.75,37.5,18.75,50.0,56.25,50.0,43.75
